date,Resting Heart Rate Score
2024-10-28,98
2024-10-29,90
2024-10-30,98
2024-10-31,100
2024-11-01,72
2024-11-02,89
2024-11-03,89
2024-11-04,1
2024-11-05,90
2024-11-06,98
2024-11-08,81
2024-11-11,90
2024-11-12,90
2024-11-13,81
2024-11-14,81
2024-11-15,98
2024-11-16,81
2024-11-17,90
2024-11-18,81
2024-11-19,81
2024-11-20,73
2024-11-21,81
2024-11-24,100
2024-11-25,89
2024-11-26,6
2024-11-27,73
2024-11-28,98
2024-11-29,98
2024-11-30,90
2024-12-01,81
2024-12-02,98
2024-12-03,90
2024-12-04,81
2024-12-05,73
2024-12-06,90
2024-12-07,65
2024-12-08,82
2024-12-09,33
2024-12-10,67
2024-12-11,68
2024-12-12,77
2024-12-13,100
2024-12-14,60
2024-12-15,85
2024-12-16,61
2024-12-17,62
2024-12-18,71
2024-12-19,89
2024-12-20,97
2024-12-21,64
2024-12-22,48
2024-12-23,58
2024-12-24,75
2024-12-25,92
2024-12-26,67
2024-12-27,43
2024-12-28,61
